nx	ny	nz	n2x	n2y	n2z	class_view
c	c	c	c	c	c	d
0.080311	0.051235	-0.995452	-0.114143	0.164755	-0.979708	vent
0.005016	0.114947	-0.993359	-0.182739	0.142782	-0.972738	vent
-0.533130	-0.839027	-0.108658	-0.558789	0.687735	-0.463439	vent
0.222282	-0.622974	-0.749996	0.562146	0.210450	-0.799814	vent
0.064603	0.028480	-0.997505	-0.155948	0.204851	-0.966290	vent
-0.000023	0.107183	-0.994239	-0.166356	0.163009	-0.972499	vent
-0.502571	-0.845198	-0.181828	0.621677	-0.626410	-0.470242	vent
0.188089	-0.671481	-0.716753	-0.551073	0.172146	-0.816508	vent
0.053707	0.078479	-0.995468	-0.140464	0.313647	-0.939093	vent
-0.007629	0.094060	-0.995537	-0.170375	0.162186	-0.971940	vent
-0.512602	-0.850343	-0.118978	0.580807	-0.630680	-0.514690	vent
0.120560	-0.606969	-0.785528	0.431113	-0.558483	-0.708687	vent
0.019962	0.086803	-0.996025	-0.196745	0.304713	-0.931902	vent
-0.043064	0.089745	-0.995033	-0.229219	0.142900	-0.962828	vent
-0.523778	-0.836992	-0.158429	0.619806	-0.655885	-0.430878	robot
0.138064	-0.523633	-0.840682	0.336498	-0.490380	-0.803926	window
0.017475	0.082332	-0.996452	-0.194015	0.239573	-0.951295	vent
-0.037600	0.105084	-0.993752	-0.243109	0.148828	-0.958513	vent
-0.515968	-0.847788	-0.122610	0.579586	-0.638971	-0.505763	robot
0.160749	-0.438148	-0.884413	-0.410216	0.408462	-0.815403	robot
0.037495	0.014497	-0.999192	-0.194233	0.184832	-0.963385	vent
0.044728	0.040979	-0.998158	-0.218093	0.196382	-0.955965	vent
-0.601667	-0.782622	-0.159683	0.476079	-0.748836	-0.461078	robot
-0.208221	0.349415	-0.913539	-0.428151	0.316592	-0.846437	robot
0.061285	0.026655	-0.997764	-0.134956	0.198392	-0.970787	vent
-0.088666	0.087075	-0.992248	-0.208551	0.156103	-0.965473	robot
0.206296	-0.720400	-0.662167	0.482520	0.378929	-0.789675	robot
-0.234986	0.284662	-0.929381	-0.443738	0.243100	-0.862554	robot
0.055164	0.041893	-0.997598	-0.139880	0.256853	-0.956274	vent
0.151147	-0.982930	-0.104899	0.951978	0.201133	-0.230831	robot
-0.118932	-0.163274	-0.979386	-0.440928	-0.031726	-0.896982	robot
-0.257476	0.191108	-0.947198	-0.445962	0.206218	-0.870972	robot
0.037635	0.014290	-0.999189	-0.181787	0.187513	-0.965294	vent
0.156240	-0.979586	-0.126494	0.927369	0.191602	-0.321366	robot
0.168180	0.519511	-0.837749	0.482823	0.233888	-0.843907	robot
-0.236305	0.102903	-0.966215	-0.457886	0.105554	-0.882722	robot
0.024019	0.014220	-0.999610	-0.234402	0.191987	-0.952994	vent
0.170700	-0.973765	-0.150476	0.904411	0.215810	-0.368058	robot
0.170980	0.540891	-0.823531	0.469322	0.229530	-0.852674	robot
-0.254525	0.012184	-0.966989	-0.440320	0.062309	-0.895676	robot
0.035252	0.055680	-0.997826	-0.198567	0.235059	-0.951482	vent
0.153371	-0.977250	-0.146494	0.918145	0.198267	-0.343073	robot
0.139034	0.543897	-0.827554	0.453054	0.265213	-0.851119	robot
-0.249821	0.032198	-0.967757	-0.467967	0.090086	-0.879142	robot
-0.006440	0.059734	-0.998194	-0.259901	0.244652	-0.934129	vent
0.166680	-0.975818	-0.141411	0.916704	0.221979	-0.332234	robot
0.195998	0.549478	-0.812194	0.496326	0.291004	-0.817910	robot
-0.262301	0.008688	-0.964947	-0.474767	0.089520	-0.875547	robot
-0.012865	0.097666	-0.995136	-0.252020	0.326934	-0.910824	vent
0.160598	-0.975440	-0.150747	0.916740	0.206791	-0.341796	robot
0.197744	0.538416	-0.819149	0.521182	0.243187	-0.818065	robot
-0.257032	-0.041826	-0.965497	-0.450226	0.100902	-0.887195	vent
-0.011428	0.116163	-0.993164	-0.250795	0.267874	-0.930239	vent
0.194594	-0.970396	-0.143058	0.922176	0.223095	-0.315942	robot
0.175010	0.560062	-0.809754	0.490431	0.277136	-0.826240	robot
-0.246818	-0.050117	-0.967765	-0.441366	0.145932	-0.885381	vent
0.015138	0.086537	-0.996134	-0.260374	0.249296	-0.932768	vent
0.171094	-0.973811	-0.149727	0.909026	0.174080	-0.378640	robot
0.156273	0.554835	-0.817152	0.501209	0.247524	-0.829169	robot
-0.252775	-0.003259	-0.967520	-0.476155	0.161752	-0.864357	vent
0.014625	0.107646	-0.994082	-0.251342	0.246983	-0.935856	vent
0.189929	-0.971656	-0.140752	0.921729	0.214994	-0.322790	robot
0.193224	0.538690	-0.820047	0.509431	0.244687	-0.824990	robot
-0.264575	-0.091569	-0.960008	-0.531536	0.136441	-0.835974	vent
0.006223	0.094884	-0.995469	-0.277724	0.172319	-0.945080	vent
0.186906	-0.969437	-0.158927	0.899697	0.229406	-0.371374	robot
0.192625	0.539620	-0.819576	0.541750	0.237951	-0.806155	robot
-0.209604	-0.025674	-0.977449	-0.496236	0.116025	-0.860400	vent
-0.022659	0.160567	-0.986765	-0.301224	0.269524	-0.914670	vent
0.170977	-0.971806	-0.162360	0.894391	0.224447	-0.386897	robot
0.180684	0.538244	-0.823193	0.507700	0.261496	-0.820890	robot
-0.217176	0.040670	-0.975285	-0.044546	-0.868475	-0.493727	window
-0.015340	0.146364	-0.989112	-0.339772	0.199961	-0.919005	robot
0.168731	-0.974234	-0.149657	0.917796	0.204302	-0.340457	robot
0.175406	0.544105	-0.820477	0.500935	0.263771	-0.824311	robot
-0.217176	0.040670	-0.975285	-0.044546	-0.868475	-0.493727	window
-0.013782	0.139806	-0.990083	-0.334117	0.206824	-0.919559	robot
0.168731	-0.974234	-0.149657	0.917796	0.204302	-0.340457	robot
0.180684	0.538244	-0.823193	0.507700	0.261496	-0.820890	robot
-0.217176	0.040670	-0.975285	-0.044546	-0.868475	-0.493727	window
-0.005764	0.133349	-0.991052	-0.321944	0.207509	-0.923738	robot
0.168731	-0.974234	-0.149657	0.917796	0.204302	-0.340457	robot
0.180684	0.538244	-0.823193	0.507700	0.261496	-0.820890	robot
-0.217176	0.040670	-0.975285	-0.044546	-0.868475	-0.493727	robot
-0.015340	0.146364	-0.989112	-0.339772	0.199961	-0.919005	robot
0.168342	-0.974598	-0.147712	0.920521	0.202641	-0.334032	robot
0.175406	0.544105	-0.820477	0.500935	0.263771	-0.824311	robot
-0.217176	0.040670	-0.975285	-0.044546	-0.868475	-0.493727	vent
-0.007147	0.140295	-0.990084	-0.327539	0.200857	-0.923242	robot
0.168342	-0.974598	-0.147712	0.920521	0.202641	-0.334032	robot
0.175406	0.544105	-0.820477	0.500935	0.263771	-0.824311	robot
0.049792	-0.973192	-0.224538	0.503211	-0.028175	-0.863704	robot
-0.015340	0.146364	-0.989112	-0.339772	0.199961	-0.919005	robot
0.168342	-0.974598	-0.147712	0.920521	0.202641	-0.334032	robot
0.294257	0.261154	-0.919354	0.532102	0.044547	-0.845508	robot
-0.287340	-0.055507	-0.956219	-0.493820	0.029907	-0.869050	robot
-0.256291	0.130084	-0.957806	-0.412017	0.101313	-0.905526	robot
0.629350	0.577581	-0.519923	0.723156	0.360620	-0.589066	robot
0.260120	0.272278	-0.926392	0.472463	0.092136	-0.876521	robot
-0.274313	-0.141124	-0.951229	-0.459210	-0.003626	-0.888320	robot
0.227308	-0.277952	-0.933313	-0.441567	0.262225	-0.858054	robot
0.445358	0.723572	-0.527352	-0.135550	0.990189	-0.033926	robot
0.190699	0.300326	-0.934579	0.355507	0.084289	-0.930865	robot
-0.722079	-0.636431	-0.271215	0.704825	-0.621840	-0.341374	robot
0.159509	0.320790	-0.933622	0.365284	0.135086	-0.921043	robot
0.510659	0.258385	-0.820039	-0.631710	0.406125	-0.660307	robot
0.183362	0.278148	-0.942874	-0.355242	-0.071287	-0.932052	robot
0.870986	0.435273	-0.227861	0.567073	-0.821356	-0.061664	robot
0.190449	0.412825	-0.890677	0.463109	0.172455	-0.869361	robot
-0.601250	0.212797	-0.770205	0.625981	-0.679297	-0.383018	robot
0.202463	0.281602	-0.937928	-0.373480	-0.068594	-0.925099	vent
-0.339207	-0.140465	-0.930166	-0.559078	0.020549	-0.828860	vent
0.169205	0.366665	-0.914837	0.439001	0.135106	-0.888270	vent
-0.359221	-0.331486	-0.872397	-0.153074	0.560133	-0.814137	vent
0.187960	0.265388	-0.945643	-0.377712	-0.031266	-0.925395	vent
-0.424459	0.354026	-0.833367	0.490894	0.038844	-0.870353	vent
0.159816	0.302204	-0.939751	0.400633	0.135820	-0.906116	vent
-0.236575	-0.092210	-0.967228	-0.295634	0.153578	-0.942876	vent
0.213451	0.255236	-0.943024	-0.426927	-0.008291	-0.904248	vent
-0.565661	-0.727279	-0.388707	-0.591094	0.037000	-0.805754	vent
0.182141	0.219096	-0.958552	-0.395649	0.014303	-0.918290	vent
0.368552	0.259078	-0.892776	0.506509	-0.024389	-0.861889	vent
0.212606	0.240606	-0.947052	-0.377824	-0.019579	-0.925670	vent
-0.187345	-0.944560	-0.269644	0.020486	0.458866	-0.888269	vent
0.159445	0.315278	-0.935509	0.399306	0.112471	-0.909893	vent
-0.305044	0.072125	-0.949603	-0.364196	0.328296	-0.871541	vent
0.209876	0.235720	-0.948888	-0.376356	0.000535	-0.926475	vent
0.291880	-0.177891	-0.939766	-0.038888	0.500322	-0.864966	robot
-0.236728	-0.140283	-0.961395	0.429236	0.098918	-0.897759	vent
-0.283935	0.195422	-0.938718	-0.359954	0.356258	-0.862272	vent
0.204318	0.215393	-0.954914	-0.383622	0.006200	-0.923469	robot
0.099217	-0.953467	-0.284704	0.025325	-0.858830	-0.511634	robot
-0.888137	0.329717	-0.320155	0.523208	-0.092763	-0.847141	vent
0.244503	-0.352522	-0.903298	0.323604	-0.472580	-0.819725	vent
0.208592	0.209216	-0.955363	-0.372179	-0.024215	-0.927845	robot
-0.300821	0.099372	-0.948489	-0.536400	0.051720	-0.842378	robot
-0.450992	0.432489	-0.780743	-0.578734	0.171508	-0.797278	vent
0.834540	0.454067	-0.312034	0.768587	0.454241	-0.450487	vent
-0.211445	-0.195253	-0.957688	-0.371100	0.005376	-0.928577	vent
-0.275888	0.069617	-0.958665	-0.505768	0.011206	-0.862597	robot
-0.381767	0.382465	-0.841412	-0.553816	0.130193	-0.822397	vent
0.803380	0.453941	-0.385380	0.787960	0.333681	-0.517471	vent
-0.206352	-0.191104	-0.959634	-0.357522	0.012444	-0.933822	vent
-0.273722	0.036301	-0.961123	-0.504785	-0.019329	-0.863029	robot
-0.257012	-0.917084	-0.304797	-0.109297	-0.848930	-0.517080	robot
0.786518	0.479184	-0.389579	0.768931	0.389735	-0.506806	vent
-0.208916	-0.195867	-0.958118	-0.380910	0.043911	-0.923569	vent
-0.288427	0.005706	-0.957485	-0.552838	0.036705	-0.832480	robot
0.226670	-0.927673	-0.296722	0.160168	-0.830864	-0.532927	window
0.789047	0.484689	-0.377466	0.782029	0.369967	-0.501553	vent
-0.196242	-0.180489	-0.963801	-0.361090	0.039079	-0.931712	vent
